"","rank","bib","name","nation","times","gender","race"
"1",1,7,"Tamara Veliz Olivares","CHI",12:02:02,"Mujer","Trail Long"
"2",1,14,"Nicolás Ignacio Benavides Bohle","CHI",08:47:23,"Hombre","Trail Long"
"3",1,124,"juan pablo llanos mora","CHI",04:23:46,"Hombre","Trail Short"
"4",1,156,"Dominga Villarino","CHI",05:11:34,"Mujer","Trail Short"
"5",1,452,"Diego Ignacio Díaz Inostroza","CHI",01:06:59,"Hombre","Mountain Classic Senior"
"6",1,543,"Antonia Sanchez","CHI",01:22:47,"Mujer","Mountain Classic Senior"
"7",1,702,"Yicssel valentina Llancapani cardenas","CHI",00:43:25,"Mujer","Mountain Classic Junior"
"8",1,791,"Iñigo Valdés Rojas","CHI",00:31:51,"Hombre","Mountain Classic Junior"
"9",2,9,"Priscilla General","CHI",12:20:20,"Mujer","Trail Long"
"10",2,52,"Remigio Huamán Quispe","CHI",09:22:24,"Hombre","Trail Long"
"11",2,132,"Matias Barros","CHI",04:28:15,"Hombre","Trail Short"
"12",2,157,"leonor calvo","CHI",05:15:01,"Mujer","Trail Short"
"13",2,407,"Dario Rafael Campos Vidal","CHI",01:08:34,"Hombre","Mountain Classic Senior"
"14",2,547,"tamara villegas escalona","CHI",01:29:49,"Mujer","Mountain Classic Senior"
"15",2,799,"julio luis gutierrez contreras","CHI",00:32:03,"Hombre","Mountain Classic Junior"
"16",3,5,"Carla Fuenzalida","CHI",12:25:55,"Mujer","Trail Long"
"17",3,24,"Patricio Cavieres","CHI",09:29:21,"Hombre","Trail Long"
"18",3,104,"Francisco Marín Zúñiga","CHI",04:41:55,"Hombre","Trail Short"
"19",3,164,"Jeanette Macarena Cayuqueo Domihual","CHI",05:18:15,"Mujer","Trail Short"
"20",3,430,"Sebastian Roble","CHI",01:09:04,"Hombre","Mountain Classic Senior"
"21",3,557,"Claudia Marlene Gómez Muñoz","CHI",01:33:18,"Mujer","Mountain Classic Senior"
"22",3,792,"MATEO SOLIZ","CHI",00:33:14,"Hombre","Mountain Classic Junior"
"23",4,4,"Graciela Andrea Clavijo","CHI",12:47:58,"Mujer","Trail Long"
"24",4,23,"Patricio Bopp Tocornal","CHI",09:29:50,"Hombre","Trail Long"
"25",4,118,"Francisco Alexander Pino Astete","CHI",04:43:20,"Hombre","Trail Short"
"26",4,161,"Paula Nazal Labrin","CHI",05:19:35,"Mujer","Trail Short"
"27",4,425,"Gabriel Halans Muñoz Flores","CHI",01:09:51,"Hombre","Mountain Classic Senior"
"28",4,529,"María de los ángeles Arjona Venturelli","CHI",01:34:45,"Mujer","Mountain Classic Senior"
"29",4,805,"Bastian Cabrera","CHI",00:35:42,"Hombre","Mountain Classic Junior"
"30",5,2,"Pamela Angel Mancilla","CHI",14:12:46,"Mujer","Trail Long"
"31",5,26,"Sebastian Eneros Rilling","CHI",09:38:27,"Hombre","Trail Long"
"32",5,126,"Sergio González catalan","CHI",05:04:15,"Hombre","Trail Short"
"33",5,169,"Patricia Cobi Velasquez","CHI",05:47:10,"Mujer","Trail Short"
"34",5,450,"Hugo contreras campos","CHI",01:10:30,"Hombre","Mountain Classic Senior"
