"","Rank","Bib","Name","Nation","Pts","Time","Gender","Date","WMTRC","Race","img"
"1","1",2246,"Stian Hovind ANGERMUND","NOR",190,"4:19:00","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/no_black.png"
"2","2",2142,"Thomas ROACH","GBR",189,"4:21:18","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/gb_black.png"
"3","3",2187,"Luca DEL PERO","ITA",188,"4:22:04","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/it_black.png"
"4","4",2126,"Thibaut BARONIAN","FRA",187,"4:25:41","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/fr_black.png"
"5","5",2138,"Jonathan ALBON","GBR",186,"4:26:57","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/gb_black.png"
"6","6",2192,"Francesco PUPPI","ITA",185,"4:28:16","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/it_black.png"
"7","7",2270,"Andrzej WITEK","POL",184,"4:29:21","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/pl_black.png"
"8","8",2141,"Kristian JONES","GBR",183,"4:30:37","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/gb_black.png"
"9","9",2131,"Frédéric TRANCHAND","FRA",182,"4:31:07","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/fr_black.png"
"10","10",2148,"Benedikt HOFFMANN","GER",181,"4:32:28","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/de_black.png"
"11","11",2309,"Stephan WENK","SUI",180,"4:34:08","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/ch_black.png"
"12","12",2202,"Ruy UEDA","JPN",179,"4:34:45","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/jp_black.png"
"13","13",2323,"Petter ENGDAHL","SWE",178,"4:35:21","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/se_black.png"
"14","14",2347,"Garrett CORCORAN","USA",177,"4:35:34","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/us_black.png"
"15","15",2190,"Cristian MINOGGIO","ITA",176,"4:36:12","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/it_black.png"
"16","16",2128,"Thomas CARDIN","FRA",175,"4:37:50","Male",2023-06-08,"Innsbruck","Trail Short","https://timit.pro/events/graphics/flags/png/fr_black.png"
